date,rate
2018-01-01,0.0395
2018-02-01,0.042199999999999994
2018-03-01,0.0443
2018-04-01,0.044000000000000004
2018-05-01,0.0455
2018-06-01,0.0454
2018-07-01,0.0452
2018-08-01,0.046
2018-09-01,0.0454
2018-10-01,0.0471
2018-11-01,0.0483
2018-12-01,0.0475
2019-01-01,0.0451
2019-02-01,0.0441
2019-03-01,0.0441
2019-04-01,0.0408
2019-05-01,0.0414
2019-06-01,0.0382
2019-07-01,0.0375
2019-08-01,0.0375
2019-09-01,0.0349
2019-10-01,0.0365
2019-11-01,0.0369
2019-12-01,0.0368
2020-01-01,0.037200000000000004
2020-02-01,0.0345
2020-03-01,0.0329
2020-04-01,0.0333
2020-05-01,0.0326
2020-06-01,0.0318
2020-07-01,0.030699999999999998
2020-08-01,0.0288
2020-09-01,0.029300000000000003
2020-10-01,0.0288
2020-11-01,0.0278
2020-12-01,0.0271
2021-01-01,0.0265
2021-02-01,0.0273
2021-03-01,0.0302
2021-04-01,0.0318
2021-05-01,0.0296
2021-06-01,0.029900000000000003
2021-07-01,0.0298
2021-08-01,0.0277
2021-09-01,0.0287
